date,cases,,,,,,,,,,,,, 
2021/12/6,1735925,,,,,,,,,,,,,
2021/12/7,1743801,,,,,,,,,,,,,
2021/12/8,1752508,,,,,,,,,,,,,
2021/12/9,1761008,,,,,,,,,,,,,
2021/12/10,1768367,,,,,,,,,,,,,
2021/12/11,1776439,,,,,,,,,,,,,
2021/12/12,1781411,,,,,,,,,,,,,
2021/12/13,1787029,,,,,,,,,,,,,
2021/12/14,1796951,,,,,,,,,,,,,
2021/12/15,1807539,,,,,,,,,,,,,
2021/12/16,1819342,,,,,,,,,,,,,
2021/12/17,1829367,,,,,,,,,,,,,
2021/12/18,1839501,,,,,,,,,,,,,
2021/12/19,1847140,,,,,,,,,,,,,
2021/12/20,1855222,,,,,,,,,,,,,
2021/12/21,1867724,,,,,,,,,,,,,
2021/12/22,1880588,,,,,,,,,,,,,
2021/12/23,1896577,,,,,,,,,,,,,
2021/12/24,1910991,,,,,,,,,,,,,
2021/12/25,1910991,,,,,,,,,,,,,
2021/12/26,1931908,,,,,,,,,,,,,
2021/12/27,1940000,,,,,,,,,,,,,
2021/12/28,1955403,,,,,,,,,,,,,
2021/12/29,1975723,,,,,,,,,,,,,
2021/12/30,1995497,,,,,,,,,,,,,
2021/12/31,2016095,,,,,,,,,,,,,
2022/1/1,2016095,,,,,,,,,,,,,
2022/1/2,2053721,,,,,,,,,,,,,
2022/1/3,2072663,,,,,,,,,,,,,
2022/1/4,2093074,,,,,,,,,,,,,
2022/1/5,2112824,,,,,,,,,,,,,
2022/1/6,2132266,,,,,,,,,,,,,
2022/1/7,2151829,,,,,,,,,,,,,
2022/1/8,2170139,,,,,,,,,,,,,
2022/1/9,2189228,,,,,,,,,,,,,
2022/1/10,2207270,,,,,,,,,,,,,
2022/1/11,2226881,,,,,,,,,,,,,
2022/1/12,2246974,,,,,,,,,,,,,
2022/1/13,2266236,,,,,,,,,,,,,
2022/1/14,2307691,,,,,,,,,,,,,
2022/1/15,2357990,,,,,,,,,,,,,
2022/1/16,2384107,,,,,,,,,,,,,
2022/1/17,2403645,,,,,,,,,,,,,
2022/1/18,2418792,,,,,,,,,,,,,
2022/1/19,2439205,,,,,,,,,,,,,
2022/1/20,2460869,,,,,,,,,,,,,
2022/1/21,2480566,,,,,,,,,,,,,
2022/1/22,2496243,,,,,,,,,,,,,
2022/1/23,2506175,,,,,,,,,,,,,
2022/1/24,2515949,,,,,,,,,,,,,
2022/1/25,2520112,,,,,,,,,,,,,
